?cls	?xref
<http://purl.obolibrary.org/obo/FBdv_00004886>	"GO:0048477"
<http://purl.obolibrary.org/obo/FBdv_00007009>	"GO:0032502"
<http://purl.obolibrary.org/obo/FBdv_00007000>	"GO:0007283"
<http://purl.obolibrary.org/obo/FBdv_00005337>	"UBERON:8000000"
<http://purl.obolibrary.org/obo/FBdv_00007024>	"GO:0008150"
<http://purl.obolibrary.org/obo/FBdv_00005339>	"UBERON:8000002"
<http://purl.obolibrary.org/obo/FBdv_00005338>	"UBERON:8000001"
<http://purl.obolibrary.org/obo/GO_0051325>	"Wikipedia:Interphase"
<http://purl.obolibrary.org/obo/GO_0000279>	"Wikipedia:M_phase"
<http://purl.obolibrary.org/obo/GO_0007049>	"Wikipedia:Cell_cycle"
<http://purl.obolibrary.org/obo/GO_0007049>	"Reactome:R-HSA-1640170"
<http://purl.obolibrary.org/obo/GO_0006996>	"Reactome:R-HSA-1852241"
<http://purl.obolibrary.org/obo/GO_0000278>	"Wikipedia:Mitosis"
<http://purl.obolibrary.org/obo/GO_0000278>	"Reactome:R-HSA-69278"
<http://purl.obolibrary.org/obo/GO_0009790>	"Wikipedia:Embryogenesis"
<http://purl.obolibrary.org/obo/GO_0009790>	"Reactome:R-HSA-5619507"
<http://purl.obolibrary.org/obo/GO_0000087>	"Reactome:R-HSA-68886"
<http://purl.obolibrary.org/obo/GO_0008150>	"Wikipedia:Biological_process"
